고객명,매출년도,사용량,사용열량
(주)금호텍스,2023,209729.0137,8972656.3803
(주)금호텍스,2024,223714.9545,9548520.6379
(주)금호텍스,2025,217564.0857,9284534.477599999
(주)남대동,2020,207844.3052,8856153.172
(주)남대동,2021,297500.569,12670844.8456
(주)남대동,2022,297981.6933,12772308.258000001
(주)남대동,2023,279169.2662,11932627.465799998
(주)남대동,2024,286452.8404,12222998.759399999
(주)남대동,2025,236649.6263,10091365.8875
(주)남선알미늄,2020,2634699.7168,112241647.46429999
(주)남선알미늄,2021,2680767.7434,114218776.17600001
(주)남선알미늄,2022,2573559.0589,110366916.4787
(주)남선알미늄,2023,2345518.8796,100231780.3402
(주)남선알미늄,2024,2156259.9664,92025382.6349
(주)남선알미늄,2025,1654159.9973,70569602.0431
(주)남환,2020,363.6236,15492.158899999999
(주)남환,2021,157.51080000000002,6717.1637
(주)남환,2022,55.4367,2376.889
(주)남환,2023,40.5645,1734.6540000000002
(주)남환,2024,36.5903,1560.909
(주)남환,2025,0.0,0.0
(주)대경텍 이현공장,2020,114535.1296,4882127.4187
(주)대경텍 이현공장,2021,89309.8592,3804404.7693
(주)대경텍 이현공장,2022,6685.0,285777.065
(주)대동,2020,1430885.2507,60972571.8646
(주)대동,2021,1724856.1346,73512384.5313
(주)대동,2022,1684574.8969,72305948.8888
(주)대동,2023,1764539.5795,75646497.19240001
(주)대동,2024,1412878.2373,60348766.2906
(주)대동,2025,1158217.778,49524357.9286
(주)대동엠텍,2020,57334.6236,2442668.0933
(주)대동엠텍,2021,56183.308600000004,2393361.2032
(주)대동엠텍,2022,65365.005900000004,2802278.7922
(주)대동엠텍,2023,66313.497,2834330.3983
(주)대동엠텍,2024,51880.77250000001,2214017.3426
(주)대동엠텍,2025,44263.2024,1887355.989
(주)대림프라콘,2020,19044.1668,811477.034
(주)대림프라콘,2021,21081.948,898298.9857
(주)대림프라콘,2022,20711.5417,888882.3186
(주)대림프라콘,2023,18678.2943,800044.4163
(주)대림프라콘,2024,15184.463,648596.9483
(주)대림프라콘,2025,12618.3135,539287.5062
(주)대성쿡웨어,2020,90638.88200000001,3862068.252
(주)대성쿡웨어,2021,128903.0,5491963.516
(주)대성쿡웨어,2022,109380.0,4691519.023
(주)대성쿡웨어,2023,73906.0,3160291.9220000003
(주)대성쿡웨어,2024,98225.0,4191504.236
(주)대성쿡웨어,2025,88550.0,3779837.366
(주)대승다크로,2020,72423.0,3086089.4050000003
(주)대승다크로,2021,91726.0,3907027.494
(주)대승다크로,2022,33303.0,1427329.847
(주)대승다크로,2023,13917.0,595648.881
(주)대승다크로,2024,368.0,15691.888
(주)대영금속,2020,243288.7156,10364405.7675
(주)대영금속,2021,168791.5776,7190583.099199999
(주)대영금속,2022,170252.0636,7301697.0548
(주)대영금속,2023,63611.5605,2722218.3303
(주)대영금속,2024,89172.0,3805797.634
(주)대영금속 도장공장,2020,11.0,471.053
(주)대영금속 도장공장,2021,1142.0,48792.681
(주)대우경금속,2020,169482.5348,7221219.301
(주)대우경금속,2021,165722.7326,7059775.571099999
(주)대우경금속,2022,160390.8609,6876533.6868
(주)대우경금속,2023,177287.2321,7577916.376499999
(주)대우경금속,2024,148436.4791,6332341.1336
(주)대우경금속,2025,158382.3681,6753965.1204
(주)대웅페이퍼 달성점,2022,76617.0,3280826.405
(주)대웅페이퍼 달성점,2023,155828.0,6659939.0030000005
(주)대웅페이퍼 달성점,2024,146851.0,6265624.745
(주)대웅페이퍼 달성점,2025,138760.0,5919494.509
(주)대철,2020,7114.0,303160.853
(주)대철,2021,5549.0,236414.002
(주)대철,2022,5933.0,254439.006
(주)대철,2023,11749.0,502650.573
(주)대철,2024,11017.0,470055.148
(주)대철,2025,14000.0,597512.567
(주)대한솔루션 경산공장,2020,19548.484,832877.1111999999
(주)대한솔루션 경산공장,2021,24442.4784,1041695.4820000001
(주)대한솔루션 경산공장,2022,23605.4053,1013117.7672
(주)대한솔루션 경산공장,2023,18772.6668,804434.3690000001
(주)대한솔루션 경산공장,2024,20795.4688,888000.8195
(주)대한솔루션 경산공장,2025,18458.5726,789012.1105
(주)대호에이엘,2020,7705667.0,328315636.459
(주)대호에이엘,2021,7194828.0,306602658.952
